Unnamed: 0,geometry,name,place_id,rating,types,vicinity,cords,reviewers
2403,"{'location': {'lat': 45.5299121, 'lng': 9.2182633}, 'viewport': {'northeast': {'lat': 45.53126192989272, 'lng': 9.219613129892723}, 'southwest': {'lat': 45.52856227010728, 'lng': 9.21691347010728}}}",Spontini,ChIJO4IfRljHhkcRzf-gLm9GX20,3.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","SARCA, Via Milanese, Sesto San Giovanni","45.529912,9.218263","['Stefano', 'Boselli', 'Emanuele', 'Panigati', 'Alu', 'Alu', 'Fabrizio', 'Crispiatico', 'Alberto', 'Denaro']"
2404,"{'location': {'lat': 45.5359969, 'lng': 9.226398099999999}, 'viewport': {'northeast': {'lat': 45.53728622989272, 'lng': 9.227755929892721}, 'southwest': {'lat': 45.53458657010728, 'lng': 9.225056270107277}}}",Buona Pizza,ChIJe_rx2aO4hkcRI0qChw7uU7M,4.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Giuseppe Rovani, 124, Sesto San Giovanni","45.535997,9.226398","['Andrés', 'Acosta', 'Antonio', 'Diaz', 'Valerio', 'Achille', 'Semenzin', 'Alessandro', 'Sicchitiello', 'ABDELNASER', 'IbRAHIM']"
2405,"{'location': {'lat': 45.5400854, 'lng': 9.2343919}, 'viewport': {'northeast': {'lat': 45.54155612989271, 'lng': 9.23579882989272}, 'southwest': {'lat': 45.53885647010727, 'lng': 9.233099170107277}}}",Villa Campari,ChIJDz8AvZe4hkcRJwcxMz2qI-8,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Davide Campari, 23, Sesto San Giovanni","45.540085,9.234392","['Stefano', 'Boselli', 'Paul', 'Horn', 'André', 'Rusconi', 'Triantafyllos', 'Tsouplakis', 'Theo', 'de', 'Vliegh']"
2406,"{'location': {'lat': 45.5370163, 'lng': 9.2337321}, 'viewport': {'northeast': {'lat': 45.53833412989272, 'lng': 9.235152229892721}, 'southwest': {'lat': 45.53563447010727, 'lng': 9.232452570107277}}}",Pizzeria Ghiottoneria Al 21,ChIJNRBKA5m4hkcRLiBWvm0m-Fw,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale A. Gramsci, 83, Sesto San Giovanni","45.537016,9.233732","['julian', 'bailey', 'jose', 'augusto', 'velasquez', 'casana']"
2407,"{'location': {'lat': 45.5269025, 'lng': 9.2411631}, 'viewport': {'northeast': {'lat': 45.52824942989272, 'lng': 9.242392929892723}, 'southwest': {'lat': 45.52554977010728, 'lng': 9.23969327010728}}}",Pizzeria La Fornace,ChIJccNNw4G4hkcRjhrD3uk4eNs,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale Rimembranze, 141, Sesto San Giovanni","45.526902,9.241163","['Sándor', 'Király', 'Chiara', 'Scarà', 'Jonathan', 'Vegetti', 'Maurizio', 'Piscopo', 'gabriele', 'santoro']"
2408,"{'location': {'lat': 45.5259857, 'lng': 9.2324985}, 'viewport': {'northeast': {'lat': 45.52738952989272, 'lng': 9.23379027989272}, 'southwest': {'lat': 45.52468987010727, 'lng': 9.231090620107276}}}",Ristorante Pizzeria Baiwei,ChIJZRGDs2bHhkcRNErJvNCL1Ek,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale Italia, 66, Sesto San Giovanni","45.525986,9.232499","['Luca', 'De', 'Nicola', 'V.', 'A.', 'Carlo', 'Cozzetto', 'THE', 'MAREJADA', 'Marejada', 'Samuel', 'Brocherio', 'Oreste', 'Dessanti']"
2409,"{'location': {'lat': 45.5420455, 'lng': 9.2321341}, 'viewport': {'northeast': {'lat': 45.54339967989272, 'lng': 9.233509429892724}, 'southwest': {'lat': 45.54070002010727, 'lng': 9.23080977010728}}}",Le Tre Caravelle,ChIJUWWjfb24hkcRIHO5T4rveAk,4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Cristoforo Colombo, 53, Sesto San Giovanni","45.542046,9.232134","['Bobo', 'Armando', 'Antonio', 'Garone', 'Maja', 'Kotkowska', 'LUCA', 'EBBASTA', 'Mreza', 'farahani']"
2410,"{'location': {'lat': 45.5323297, 'lng': 9.2325228}, 'viewport': {'northeast': {'lat': 45.53369422989272, 'lng': 9.234040429892723}, 'southwest': {'lat': 45.53099457010727, 'lng': 9.231340770107279}}}",Pizza d'Amore,ChIJXU_WUZ64hkcRaByOQTaXv_U,2.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Domenico Fiorani, 56, Sesto San Giovanni","45.532330,9.232523","['Matteo', 'M', 'Stefano', 'Caronia']"
2411,"{'location': {'lat': 45.5326025, 'lng': 9.2352206}, 'viewport': {'northeast': {'lat': 45.53398142989272, 'lng': 9.23664572989272}, 'southwest': {'lat': 45.53128177010727, 'lng': 9.233946070107276}}}",Ristorante l'Ostricaro,ChIJEYbSKpy4hkcRI-Pnfm_OZes,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Don Giovanni Minzoni, 80, Sesto San Giovanni","45.532603,9.235221","['Wisam', 'Afana', 'Teresa', 'Fanizzo', 'Paolo', 'Toma', 'S1', 'Giulic', 'sabry', 'Viglia']"
2412,"{'location': {'lat': 45.5328767, 'lng': 9.2257785}, 'viewport': {'northeast': {'lat': 45.53422652989271, 'lng': 9.227128329892722}, 'southwest': {'lat': 45.53152687010727, 'lng': 9.224428670107278}}}",Lady Pizza,ChIJVZKB-qC4hkcRJlDBko8zBwY,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",Sesto San Giovanni,"45.532877,9.225779","['mario', 'pietro', 'sirtori', 'Costantino', 'Cubeddu', 'Giuseppe', 'Nuvoli', 'Lucia', 'Cionfoli', 'Miguel', 'Irlandez']"
